Name,Email,Phone Number,Time of Checking Messages,Preferred Messaging Channel,Language Preferred,Type of CTA,City,Type of Device,CTR Rate
Eric Lynch,davidperez@gmail.com,566.692.7329x3430,5 pm,email,English,know more,Berlin,Android,9.6
Abigail Scott,andrewjones@gmail.com,001-730-117-6099x0188,3 pm,email,English,book now,Berlin,iPhone,6.1
Jason Padilla,collinsandrew@yahoo.com,667.598.0802x166,5 pm,WhatsApp,German,purchase now,Birmingham,Android,8.4
Melissa Benson,shawn95@hotmail.com,516-557-9644,11 am,sms,German,order now,Berlin,Android,6.2
Sarah Sanchez,christopherlambert@young.com,286-858-0136,1 pm,email,Chinese,book now,Tokyo,iPhone,7.2
Sherry Zamora,xstanton@ashley.net,001-762-628-8966x111,3 pm,email,Chinese,book now,Toronto,Android,8.0
Jonathan Griffin,zkane@hotmail.com,342.000.5192x59335,3 pm,sms,German,know more,London,iPhone,6.4
Adam Ellis,whiteamy@dalton.net,001-554-016-4729,4 pm,sms,French,buy now,Mumbai,iPhone,6.6
Gary Faulkner,brandonwalters@gmail.com,+1-718-550-7554x105,2 pm,sms,French,order now,London,Android,5.9
Victoria Reed,jordanhicks@hotmail.com,5289282315,8 am,WhatsApp,English,book now,Birmingham,iPhone,5.5
Collin Martin,rking@hotmail.com,018.620.6724,8 am,email,Chinese,purchase now,Sydney,iPhone,6.5
Karen Green,andrew72@byrd.com,(448)458-1003x97842,3 pm,sms,German,know more,Birmingham,iPhone,6.7
Taylor Alvarado,martha63@yahoo.com,(015)114-4168,3 pm,sms,Chinese,purchase now,Paris,iPhone,6.6
Jon Hartman,matthew56@gmail.com,537-913-8487,9 am,WhatsApp,Spanish,buy now,Sydney,Android,7.8
Tony Mills,john01@yahoo.com,541.630.8211,11 am,email,Chinese,know more,Mumbai,Android,20.2
Kathryn Palmer,amber02@yahoo.com,778-667-2410x35253,1 pm,email,French,book now,Birmingham,iPhone,6.9
Leah Perez,longbrittney@hill-johns.com,001-192-507-5990x5922,10 am,email,Spanish,buy now,Mumbai,iPhone,19.8
Christopher Allen,uspencer@carter.com,+1-468-519-7236,3 pm,sms,English,know more,Dubai,Android,7.3
Richard Miller,huntsteven@smith-walker.com,512-986-5691,2 pm,WhatsApp,Chinese,book now,Paris,iPhone,20.4
Nicholas Castro,walkerandrew@baker.com,5760901308,1 pm,email,Chinese,order now,New York,Android,9.4
Tiffany Ruiz,jguerrero@cruz.com,(366)055-8085x80395,5 pm,sms,English,order now,New York,Android,17.9
David Landry,poperobert@williams.info,546-848-9803x0745,12 pm,email,English,know more,Birmingham,Android,6.7
Jodi White,caitlin51@white.biz,893-469-7810x91944,2 pm,email,German,know more,Toronto,Android,7.0
Jordan Brown,christopher10@clark.net,(850)091-7518x06308,4 pm,WhatsApp,English,purchase now,Tokyo,Android,5.6
Kevin Goodwin,marshjonathan@blake-gutierrez.biz,+1-153-377-4422,9 am,sms,German,buy now,Mumbai,Android,5.0
Jeremy Reyes,jordan14@hotmail.com,973.680.5084x51721,4 pm,email,German,know more,New York,iPhone,9.6
Brittany Smith,destinywilson@nguyen-bennett.com,(119)780-1516,8 am,email,Spanish,know more,New York,Android,7.6
Kimberly James,kanderson@george.com,814-802-1958,4 pm,email,Spanish,know more,Sydney,Android,9.6
Michael Vang,juanwilliamson@gmail.com,001-647-936-8049x9515,11 am,sms,German,buy now,Tokyo,iPhone,5.0
Kristen Murphy,scott43@hotmail.com,(185)024-9737x43111,10 am,WhatsApp,French,buy now,Birmingham,Android,6.3
Ashley Davenport,deborahschmidt@yahoo.com,+1-536-262-2009x94750,4 pm,email,German,purchase now,Dubai,iPhone,8.0
Jacob Hernandez,daniel83@yahoo.com,103.942.3558,2 pm,WhatsApp,English,book now,London,Android,20.6
Pamela Serrano,veronica28@yahoo.com,+1-279-986-3335x2333,12 pm,sms,French,book now,Mumbai,iPhone,7.3
Deborah Mccullough,erin59@keller-allen.com,+1-394-841-2041x2349,4 pm,WhatsApp,English,purchase now,Sydney,Android,7.2
Shannon Murray,danielsrobert@king.biz,367.330.8490x757,5 pm,sms,English,purchase now,Birmingham,Android,18.5
Gabriela Elliott,sally58@lee.com,+1-910-126-8960x594,10 am,email,German,order now,Sydney,Android,20.0
Anthony Romero,ashley08@warren.com,001-661-170-3980x751,4 pm,email,English,order now,Birmingham,iPhone,9.1
Mark Copeland,wjones@hanson-garcia.com,+1-877-040-3661,3 pm,WhatsApp,German,book now,Toronto,iPhone,19.3
Rebecca Henderson,oliviameyer@mcgee.com,+1-553-015-3484x909,11 am,sms,English,know more,Dubai,iPhone,5.5
Shawn Lloyd,lmccarthy@hotmail.com,627.837.2407x807,3 pm,email,French,know more,Birmingham,Android,9.6
Joseph Olsen,kiara48@hotmail.com,924-814-6381x450,11 am,sms,German,purchase now,Dubai,iPhone,4.3
Elizabeth Jennings,sarah83@mcmillan.com,939-805-8857x468,5 pm,WhatsApp,French,order now,New York,Android,7.5
Angel Williams,burtoncynthia@bell-hamilton.info,207-169-7886,3 pm,WhatsApp,English,order now,Paris,iPhone,20.8
Donna Lowe,merrittjudy@gmail.com,(634)239-4065x951,8 am,sms,French,order now,Tokyo,iPhone,7.6
Diane Munoz,michelefrank@yahoo.com,2511471530,12 pm,email,German,order now,London,Android,6.1
John Salinas,wilsoncurtis@ramsey-smith.com,120-743-5627x3846,12 pm,sms,German,buy now,Berlin,Android,4.6
Sandra Richardson,rgamble@yahoo.com,(448)879-6949x04355,10 am,sms,Spanish,book now,Mumbai,Android,4.7
Ruth Sanchez,zvilla@wong.net,001-033-461-7469,1 pm,WhatsApp,Chinese,know more,London,Android,6.5
Deborah Marshall,robert18@martinez.net,(551)903-2562,10 am,email,Spanish,buy now,Berlin,Android,21.1
Adam Mckinney,markcarter@jordan-ortiz.info,573-933-8872,1 pm,sms,French,know more,New York,iPhone,6.7
Janet Hughes,fisherdiana@yahoo.com,822.987.2888,3 pm,WhatsApp,German,purchase now,Mumbai,Android,20.3
Mark Lewis,laurajones@yahoo.com,001-821-664-8701x3032,11 am,sms,French,book now,Dubai,Android,7.4
Stephanie Maxwell,mcox@davis.net,(154)708-1483,5 pm,WhatsApp,French,book now,Tokyo,iPhone,5.0
Carol Parker,kathleen41@wolf-jordan.com,001-466-739-2100x076,9 am,WhatsApp,Chinese,book now,Birmingham,Android,5.4
Dustin Collins,nicoleforbes@fuentes.com,319.994.3101x26535,4 pm,email,Chinese,buy now,Berlin,Android,6.0
Shannon Flores,tracycastillo@yahoo.com,+1-394-156-1416x37183,2 pm,email,German,order now,Berlin,iPhone,6.9
Alexandra Mitchell,dgray@grant.com,001-944-607-3676x65854,12 pm,email,German,know more,New York,iPhone,9.7
Mrs. Lauren Hicks,mcculloughbrandy@parker.com,(265)224-6248x93659,10 am,WhatsApp,Chinese,order now,Sydney,Android,8.8
Brian Blackwell,browncassidy@sanders-tapia.net,012.583.4997x327,12 pm,sms,Spanish,purchase now,Toronto,iPhone,7.6
Kayla Rice,melendezamanda@park.info,766.501.9058,9 am,email,Spanish,purchase now,Tokyo,Android,7.5
Charles Hunt,patrickshelton@brown-thornton.biz,239-411-8279,2 pm,email,Spanish,purchase now,Dubai,iPhone,9.6
Eric Reynolds,vbell@lewis.com,(418)038-8824x7424,11 am,sms,German,book now,Birmingham,iPhone,5.8
Robert Oliver,xgray@williams.com,+1-638-812-2813x9578,5 pm,WhatsApp,German,buy now,Paris,iPhone,6.5
Jesse Jackson,qchandler@ruiz.com,001-302-980-5543x0051,1 pm,sms,French,purchase now,Berlin,Android,4.4
Stephanie Kelly,brooke92@horne.com,2577053458,3 pm,sms,Chinese,order now,Dubai,iPhone,5.0
Scott Pham,nancyhernandez@yahoo.com,+1-442-643-8431,8 am,email,German,know more,Toronto,Android,6.7
Jessica Lee,javier76@hotmail.com,+1-584-684-3004,9 am,sms,Spanish,know more,London,Android,5.8
Scott Bailey,jasminejohnson@quinn-scott.com,+1-912-061-1921,10 am,sms,French,book now,Mumbai,iPhone,4.3
Sharon Hutchinson,kwu@murphy.com,(871)895-8725x984,8 am,sms,German,know more,London,iPhone,4.8
Alyssa Long,cristianvance@yahoo.com,521.296.1387x829,12 pm,email,Chinese,purchase now,Sydney,Android,9.8
Michelle Bruce,andreazimmerman@yahoo.com,+1-832-126-8812x5315,10 am,email,Spanish,know more,Paris,Android,18.6
Philip Campbell,jasonhall@gmail.com,+1-185-366-2032x322,4 pm,email,French,buy now,Tokyo,Android,9.0
Richard Spencer,brendachandler@butler.info,885.915.6533x745,1 pm,sms,German,know more,London,iPhone,8.0
Robert Henry,cherylleon@hotmail.com,+1-138-412-8496x08568,2 pm,email,Spanish,book now,Toronto,Android,7.5
Christopher Graves,onealkaitlin@yahoo.com,1447136229,12 pm,WhatsApp,Spanish,book now,Mumbai,Android,5.6
Sean Hancock MD,rle@swanson.biz,(178)604-5749x770,12 pm,sms,French,purchase now,Sydney,Android,7.1
Ann Pearson,gambleryan@hotmail.com,(768)827-2871x08911,4 pm,email,English,know more,Mumbai,iPhone,6.8
Jodi Wilkerson,anita92@payne.net,806.058.3149x016,9 am,email,Chinese,know more,Mumbai,iPhone,6.5
Mary Chandler,cynthiadorsey@yahoo.com,001-225-183-1251,2 pm,email,Chinese,book now,Tokyo,Android,8.6
Mark Coffey,paigenelson@yahoo.com,122-509-4935,3 pm,WhatsApp,Spanish,purchase now,Toronto,iPhone,19.3
Denise Green,alicia33@gmail.com,021-937-7938x4969,12 pm,sms,English,book now,Mumbai,Android,7.4
Erika Nguyen,xcardenas@dyer.org,736-713-8802x606,3 pm,sms,German,buy now,Paris,Android,5.7
Elizabeth Bullock,eddie25@sanchez.biz,(287)234-8971,1 pm,email,German,buy now,Berlin,Android,7.5
David Bates,brittanythomas@murphy-tapia.com,067.971.4421,2 pm,email,French,buy now,London,iPhone,8.0
Gary Hernandez,erin01@gmail.com,5742289615,4 pm,sms,French,know more,New York,Android,5.5
Carlos Howell,haynesbruce@hotmail.com,+1-883-674-1041x92551,5 pm,email,Spanish,know more,New York,iPhone,7.9
Melinda Savage,kennethwilliamson@norton-tate.biz,740.178.4775x812,8 am,email,Spanish,buy now,Berlin,Android,8.9
Michael Moore,sarawalsh@yahoo.com,688.388.6112,3 pm,sms,German,know more,New York,iPhone,5.6
Carrie Douglas,jlutz@yahoo.com,244-944-7950,3 pm,email,Chinese,know more,Berlin,iPhone,10.0
Dalton Lopez,operez@jordan-espinoza.org,+1-473-187-9796,11 am,email,English,purchase now,Mumbai,Android,21.4
David Mcclain,matthew48@gmail.com,+1-607-568-9225,11 am,sms,Spanish,order now,Tokyo,Android,6.1
Tyler Gilbert,christopher69@yahoo.com,766-741-4017x449,11 am,sms,Spanish,purchase now,Paris,iPhone,5.6
Ms. Veronica Fowler,joan09@hotmail.com,+1-999-149-1496x45562,9 am,email,Chinese,purchase now,Birmingham,Android,7.6
Jaime Olson,kaylabrown@stewart.com,+1-029-381-5508x39041,3 pm,email,Spanish,buy now,Dubai,iPhone,8.1
William Sanchez,thomas54@wells.com,070-869-0309,3 pm,WhatsApp,German,know more,Paris,Android,20.6
Douglas Davis,obarnes@hotmail.com,001-049-630-6284x95754,11 am,sms,French,purchase now,Sydney,iPhone,7.3
Andre Harris,boydallen@thomas.com,+1-353-007-6548,2 pm,email,German,buy now,New York,Android,8.8
Lee Dunn,ihicks@simon.com,708.043.4442x55089,8 am,WhatsApp,French,know more,Mumbai,iPhone,8.4
Virginia Williams,sullivanjessica@hotmail.com,530-362-2575,5 pm,sms,German,book now,Berlin,iPhone,19.8
Valerie Nash,david89@green.biz,787.495.0445,4 pm,sms,Spanish,buy now,Paris,Android,4.9
Antonio Haas,scott27@carey.com,+1-006-720-1090x648,10 am,WhatsApp,German,purchase now,Birmingham,iPhone,6.7
Nancy Alexander,rebecca19@gmail.com,+1-531-358-7262,4 pm,WhatsApp,French,purchase now,New York,iPhone,7.3
Gregory James,amy07@hotmail.com,5485127108,5 pm,WhatsApp,French,know more,New York,iPhone,5.7
John Palmer,vrussell@hotmail.com,+1-621-414-5166x5766,2 pm,email,French,buy now,Toronto,iPhone,6.4
William Hess,gonzalesscott@yahoo.com,+1-858-380-0409x722,12 pm,sms,Chinese,buy now,Mumbai,iPhone,5.9
Paul Frost,cassandraporter@yahoo.com,5740595294,10 am,WhatsApp,French,purchase now,Paris,iPhone,7.0
Kelly Williams,svillegas@hotmail.com,001-350-191-3668x52547,8 am,WhatsApp,French,buy now,Birmingham,iPhone,7.6
Daniel Le,sgonzalez@yahoo.com,001-574-355-2338,10 am,email,English,order now,Dubai,Android,18.8
Nathaniel Patterson,isaacpollard@hotmail.com,169.644.0843x12422,5 pm,WhatsApp,Chinese,purchase now,London,iPhone,5.1
Christy Hayes,jessicaschwartz@lamb.com,668-666-8377,3 pm,sms,Spanish,purchase now,London,iPhone,6.5
Shelby Kennedy,vcarrillo@smith-cooper.biz,933.969.7797x45988,2 pm,WhatsApp,Spanish,buy now,Toronto,iPhone,17.7
Megan Church,george50@clark.org,932.863.3951,5 pm,sms,Spanish,book now,London,Android,19.4
Kelly Palmer,simonrobert@hotmail.com,827.339.8677,1 pm,WhatsApp,Chinese,know more,Berlin,iPhone,5.3
Mr. David Mosley,nicholassantos@yahoo.com,+1-111-080-8623x800,4 pm,sms,French,know more,London,iPhone,6.2
Allen Griffin,bakerkaren@goodman.com,349.789.0750x5740,3 pm,WhatsApp,French,know more,London,Android,19.5
Alyssa Vincent,jessicalewis@weber-evans.com,810-684-5240x398,5 pm,WhatsApp,French,buy now,Birmingham,Android,7.8
Jacqueline Turner,meghanbarber@richards-reed.biz,(300)435-1858x94061,2 pm,sms,Chinese,book now,Birmingham,iPhone,5.4
William Smith,laurajohnson@hotmail.com,(757)710-5178,8 am,sms,Chinese,know more,Paris,Android,7.6
Cody Turner,elizabeth17@miller-raymond.net,643.315.5015,12 pm,email,Spanish,book now,Dubai,Android,8.2
Nancy Green,parkerthomas@carrillo.com,+1-950-351-4161x497,10 am,sms,German,know more,Dubai,iPhone,5.1
Renee Bishop,zjefferson@lyons.com,(016)782-1978x97141,11 am,email,German,know more,Toronto,Android,18.9
Cory Williams,leeedward@elliott.biz,770.934.2455x10157,5 pm,email,Spanish,know more,Tokyo,iPhone,7.3
Courtney Watkins,chambersbonnie@martin-bean.biz,222-362-3529x4227,1 pm,email,German,purchase now,Tokyo,Android,9.5
Joel Hamilton,lydia34@gmail.com,0192499946,3 pm,email,French,know more,Tokyo,iPhone,7.5
Shane Campbell,mary41@hotmail.com,+1-044-466-2500,4 pm,sms,Spanish,order now,London,Android,5.7
Amanda Henry,yolandadawson@figueroa.com,924-073-3695,10 am,sms,French,know more,Toronto,iPhone,7.3
Jeffrey White,robertmartinez@yahoo.com,001-411-300-3160x591,10 am,email,English,purchase now,Toronto,Android,20.3
John Ray,yortiz@yahoo.com,234.643.5162x662,9 am,email,German,know more,Sydney,iPhone,6.0
Nicholas Stewart,sheryl79@yahoo.com,883-799-8753x097,10 am,email,Chinese,know more,Sydney,Android,20.7
Mallory Gonzalez,frankhudson@yahoo.com,572.062.0609x1399,3 pm,sms,Spanish,purchase now,Berlin,Android,5.4
Amber Mendez,yorkvictor@bryant.com,(563)082-9406x222,2 pm,sms,English,order now,Berlin,iPhone,4.5
Joshua Lamb,michellemalone@gmail.com,+1-205-527-6598x151,5 pm,sms,English,buy now,New York,iPhone,17.9
Robin Daniels,jacquelineblake@hotmail.com,+1-846-052-5399x045,8 am,email,Chinese,know more,Tokyo,Android,6.0
Susan Barnes,lbrown@pace-owens.com,980.219.0656x1919,5 pm,WhatsApp,French,purchase now,Sydney,Android,7.7
John Hubbard,nmarquez@gmail.com,591-422-9954x347,11 am,WhatsApp,French,book now,Tokyo,Android,6.8
James Murray,kelleydonald@yahoo.com,(760)405-0508x4720,3 pm,sms,Spanish,purchase now,Dubai,Android,6.1
Kevin Harrington PhD,kellyhernandez@cole.net,430-000-2858,11 am,sms,English,know more,Paris,Android,6.5
Barbara Harmon,dwilliams@gmail.com,9535292026,11 am,email,French,buy now,New York,Android,18.1
Daniel Delacruz,wrivas@richardson-lane.com,001-336-276-5864x36761,9 am,email,German,order now,Tokyo,Android,6.5
Kathryn Roach,alexandra14@hotmail.com,001-773-142-9433x4686,12 pm,sms,Chinese,buy now,London,Android,6.4
Laura Wilson,paulacordova@guzman-clark.com,855.717.9769,12 pm,email,French,order now,London,iPhone,6.8
Nathan Martin,donnawright@bishop.org,+1-335-303-1270x12830,10 am,sms,German,purchase now,Birmingham,Android,7.0
Jordan Newton,riveraashley@gmail.com,(788)057-2772,12 pm,WhatsApp,Spanish,order now,Birmingham,Android,5.4
Anne Williams,scott88@gmail.com,(172)859-4025x095,1 pm,WhatsApp,Spanish,buy now,Mumbai,iPhone,7.3
Patricia Johnson,klong@robinson.com,001-867-934-5566x1414,1 pm,email,French,book now,Toronto,Android,7.8
Jessica Lee,daniel34@goodwin-charles.com,(570)665-9231x862,3 pm,WhatsApp,French,order now,Birmingham,iPhone,17.9
Vanessa Thomas,timothy31@gmail.com,001-251-440-0573,1 pm,WhatsApp,English,order now,Mumbai,iPhone,6.2
Kristy Johnson,andrewpowell@clark-burke.info,+1-533-371-6742,4 pm,email,Chinese,order now,Mumbai,iPhone,9.4
Christian Franklin,angelacarr@robinson.com,411-691-8001,9 am,WhatsApp,Spanish,book now,Sydney,Android,6.7
Bryan Morgan,derrick47@yahoo.com,+1-836-001-0073x6239,4 pm,email,Chinese,purchase now,London,Android,8.9
Christine Ray,grahamadam@hotmail.com,655.369.8933x680,1 pm,email,German,book now,Birmingham,iPhone,8.5
Kayla Graves,zunigadeanna@hotmail.com,244.374.1262x11493,11 am,email,French,buy now,Mumbai,Android,19.0
Michael Hernandez,zrose@gmail.com,(216)985-3757,2 pm,sms,French,book now,Paris,Android,7.8
Jennifer Vasquez,omartinez@smith.com,+1-358-468-5600x064,8 am,sms,Spanish,buy now,Tokyo,Android,5.2
Jeremy Villegas,meghan02@lee.com,100.078.0371x449,5 pm,sms,German,purchase now,Paris,Android,16.8
Jeffery Underwood,stuartshari@walker.info,7011458547,5 pm,WhatsApp,Chinese,order now,Dubai,Android,8.2
Phillip Frazier,madison70@gmail.com,497-838-8542x1126,8 am,sms,German,order now,Sydney,iPhone,6.1
Amy Salazar,longjennifer@spencer.com,450.555.1166x317,1 pm,sms,German,know more,Tokyo,iPhone,4.7
Matthew Robbins,wsmith@nelson.com,916.207.8521x06082,2 pm,email,Spanish,book now,Birmingham,Android,8.8
Dawn Hayes,moorelaura@williams.com,984.503.6160x73069,9 am,WhatsApp,French,buy now,Paris,iPhone,8.7
Andres Lee,pgarcia@gmail.com,001-258-298-5916x55415,2 pm,WhatsApp,Chinese,know more,Toronto,Android,18.9
Antonio Harrison,gstewart@hayden.com,+1-958-414-4555x75826,3 pm,sms,Chinese,buy now,Sydney,iPhone,5.6
Shawn Aguilar,dawsonbecky@gmail.com,+1-924-131-1038x46345,4 pm,WhatsApp,Chinese,buy now,New York,iPhone,7.1
Aaron Castro,robertsontammy@barnes-dominguez.net,+1-026-986-2116x16265,9 am,WhatsApp,English,buy now,Paris,iPhone,6.3
Joyce Allen,steven23@gmail.com,(178)192-7019x4666,5 pm,sms,German,purchase now,Mumbai,Android,19.7
Brent Martinez,woodardrichard@gmail.com,702-915-5063x51595,3 pm,sms,French,purchase now,Dubai,iPhone,4.7
Steven Cooley,bgross@gmail.com,(972)608-8631,10 am,email,Chinese,buy now,Toronto,iPhone,20.5
Bonnie Bryant,jbrown@mendoza.com,(282)822-4797x027,12 pm,WhatsApp,Spanish,order now,Toronto,Android,8.9
Christopher Lawson,tammywillis@lawson.info,4099253092,3 pm,sms,English,purchase now,Berlin,Android,6.0
Jodi Spencer,clarkcynthia@berry.com,001-577-841-0373,9 am,sms,English,purchase now,Toronto,iPhone,7.0
Jessica Thomas,ukrueger@ward-mosley.com,971.507.7632x394,11 am,sms,Spanish,purchase now,Mumbai,Android,4.6
Christopher Taylor,nhall@snyder.com,001-854-339-6282x413,9 am,WhatsApp,German,purchase now,Mumbai,Android,6.7
Kevin Luna,schroederchristopher@gmail.com,+1-367-427-5224x495,9 am,email,English,know more,Dubai,Android,6.4
Christy Turner,maureen51@gmail.com,682.141.0695x18544,12 pm,WhatsApp,Chinese,know more,New York,iPhone,8.4
Ryan King,meganwilliams@williams.com,001-429-503-8240x44446,5 pm,WhatsApp,Chinese,purchase now,Berlin,Android,5.0
Jessica Thomas,brittany05@li.com,202.367.7394x32568,8 am,email,German,purchase now,Sydney,Android,9.8
Tracie Allen,johnsonvalerie@lewis.org,541.959.1911x0507,9 am,sms,English,book now,Paris,Android,6.6
Mr. Andrew Mendez MD,zpugh@beasley-vaughn.com,551-562-8322x83711,8 am,WhatsApp,Spanish,know more,Sydney,Android,8.2
Matthew Berger,joseph07@stevenson-rodriguez.info,0054592885,12 pm,email,Chinese,book now,Mumbai,Android,9.3
Donald Patterson,thompsonmartin@yahoo.com,001-863-536-9753x699,11 am,sms,French,know more,Toronto,iPhone,6.5
Steven Bridges II,walterselizabeth@hotmail.com,666-654-6394,1 pm,WhatsApp,German,buy now,Dubai,iPhone,8.9
Sarah Carpenter,emily70@hotmail.com,873-176-0696,11 am,WhatsApp,German,order now,Paris,iPhone,8.9
Julie Frazier,vnelson@yahoo.com,001-132-891-8965x824,3 pm,email,German,know more,Tokyo,Android,7.5
Mrs. Jordan Zimmerman,jessica45@yahoo.com,587.402.1734x61643,12 pm,sms,English,purchase now,Dubai,Android,4.0
Tiffany Peterson,debra44@davis.com,(030)554-2228x021,1 pm,WhatsApp,Spanish,order now,Paris,Android,5.3
Jonathan Anderson,acostajason@yahoo.com,+1-661-760-8045,5 pm,WhatsApp,Chinese,order now,Paris,Android,6.0
Mr. Kevin Adams,paulle@gmail.com,001-339-146-4148x584,2 pm,WhatsApp,Chinese,buy now,Sydney,iPhone,20.8
Ronald Dixon,pittmanamanda@gmail.com,+1-354-322-1530x989,2 pm,WhatsApp,French,purchase now,Tokyo,iPhone,20.3
Alexander Gonzalez,opatrick@gmail.com,(340)748-3981x453,4 pm,email,Spanish,know more,Sydney,Android,6.4
Tara Day,joshua58@jimenez-wall.com,377.990.5951x82536,5 pm,email,English,book now,New York,Android,8.6
Tamara Ross,taylorjohnny@gmail.com,634.721.4145x2832,8 am,sms,German,know more,Sydney,Android,7.9
Michelle Hoffman,manuelphelps@williams.net,100.506.4951,1 pm,sms,Spanish,buy now,London,Android,5.6
Angela Marsh,davidturner@yahoo.com,001-828-339-3223,4 pm,sms,French,buy now,Paris,Android,5.3
Tiffany Stuart,jonesnicole@yahoo.com,001-627-331-5018x457,1 pm,email,French,order now,Dubai,Android,8.2
Sean Rhodes,ryan75@boyd.com,(774)504-6012x8810,9 am,sms,French,order now,Tokyo,iPhone,6.9
Bianca Morris,ejohnson@hotmail.com,899.630.8315x9893,9 am,email,German,order now,Toronto,Android,6.3
Terri Sanders,wendy43@gmail.com,8605626909,11 am,sms,French,buy now,Dubai,Android,8.0
Krystal Jones,leesara@yahoo.com,338-027-4721,11 am,email,French,know more,Berlin,iPhone,21.1
James Waller,david63@hotmail.com,1091559923,11 am,sms,Chinese,book now,Berlin,iPhone,7.7
Dean Garcia,patty67@hotmail.com,+1-267-816-7427x3451,1 pm,email,Chinese,order now,Berlin,iPhone,8.3
